,foraging,no bird,open wings,self care,sleeping,unknown,vigilant
foraging,0.5584137191854234,0.030499675535366644,0.06666666666666667,0.030612244897959183,0.0,0.046511627906976744,0.22560975609756098
no bird,0.21436227224008575,0.9260220635950681,0.2,0.07378335949764521,0.007936507936507936,0.0,0.5121951219512195
open wings,0.0015005359056806003,0.0006489292667099286,0.7333333333333333,0.0007849293563579278,0.0,0.0,0.012195121951219513
self care,0.038692390139335474,0.00973393900064893,0.0,0.8485086342229199,0.0,0.06976744186046512,0.03048780487804878
sleeping,0.017363344051446947,0.005191434133679429,0.0,0.0,0.9920634920634921,0.0,0.012195121951219513
unknown,0.02765273311897106,0.025308241401687217,0.0,0.0282574568288854,0.0,0.8837209302325582,0.006097560975609756
vigilant,0.1420150053590568,0.0025957170668397143,0.0,0.01805337519623234,0.0,0.0,0.20121951219512196
