epoch,loss,lr,val_loss
0,0.0006434169481508434,1e-04,0.0006067912909202278
1,0.0005755140446126461,1e-04,0.0004789115919265896
2,0.0003634979948401451,1e-04,0.00030955576221458614
3,0.0002576677652541548,1e-04,0.0003107894735876471
4,0.00022183498367667198,1e-04,0.00022059946786612272
5,0.00017871599993668497,1e-04,0.00020331917039584368
6,0.0001682279398664832,1e-04,0.0001985621638596058
7,0.00015708025603089482,1e-04,0.00016121876251418144
8,0.00013247004244476557,1e-04,0.0001296482078032568
9,0.00012108002556487918,1e-04,0.00012721116945613176
10,0.00011129108315799385,1e-04,0.0001139570158557035
11,0.00011544521839823574,1e-04,0.00011518051178427413
12,9.542125189909711e-05,1e-04,0.0001285522448597476
13,9.613228758098558e-05,1e-04,0.00014081668632570654
14,9.275233605876565e-05,1e-04,0.00010013044811785221
15,9.036951814778149e-05,1e-04,8.586777403252199e-05
16,8.731910929782316e-05,1e-04,0.00011750918201869354
17,7.652307976968586e-05,1e-04,8.482590783387423e-05
18,7.26383295841515e-05,1e-04,0.00012598076136782765
19,6.929996743565425e-05,1e-04,9.954316192306578e-05
20,7.065341924317181e-05,1e-04,0.00010526584810577333
21,7.492001896025613e-05,1e-04,0.0001008435501717031
22,6.614567973883823e-05,1e-04,0.00010207970626652241
23,5.419326771516353e-05,5e-05,0.00010145871056010947
24,5.249919922789559e-05,5e-05,8.474500646116212e-05
25,4.997158976038918e-05,5e-05,8.294246072182432e-05
26,5.098083056509495e-05,5e-05,7.935125177027658e-05
27,4.708212873083539e-05,5e-05,8.902246918296441e-05
28,4.62783282273449e-05,5e-05,9.733052138471976e-05
29,4.969765359419398e-05,5e-05,8.029863238334656e-05
30,4.912026270176284e-05,5e-05,9.865940228337422e-05
31,4.5733904698863626e-05,5e-05,6.394742376869544e-05
32,4.621843254426494e-05,5e-05,0.00011350413114996627
33,4.499009810388088e-05,5e-05,9.110752580454573e-05
34,4.463800723897293e-05,5e-05,9.311267058365047e-05
35,4.639942562789656e-05,5e-05,7.913354056654498e-05
36,4.50024708698038e-05,5e-05,7.667207682970911e-05
37,4.276211257092655e-05,2.5e-05,8.186167542589828e-05
38,3.944089257856831e-05,2.5e-05,8.641648310003802e-05
39,3.735151040018536e-05,2.5e-05,7.097607885953039e-05
40,3.879081123159267e-05,2.5e-05,8.433577022515237e-05
41,3.753663622774184e-05,2.5e-05,7.378592999884859e-05
42,3.877566268783994e-05,2.5e-05,8.329979027621448e-05
43,3.7633846659446135e-05,2.5e-05,0.00010607147123664618
44,3.8221765862545e-05,1.25e-05,9.110372047871351e-05
45,3.764605935430154e-05,1.25e-05,8.334993617609143e-05
46,3.464736801106483e-05,1.25e-05,6.72886599204503e-05
47,3.6489545891527086e-05,1.25e-05,8.493024506606162e-05
48,3.333236963953823e-05,1.25e-05,9.320160461356863e-05
49,3.680000008898787e-05,1.25e-05,5.1250153774162754e-05
50,3.622589792939834e-05,1.25e-05,0.00011025420826626942
51,3.8833459257148206e-05,1.25e-05,8.851761231198907e-05
52,3.31708652083762e-05,1.25e-05,9.916324052028358e-05
53,3.435148755670525e-05,1.25e-05,6.797767855459824e-05
54,3.4449076338205487e-05,1.25e-05,5.4549880587728694e-05
55,3.5539902455639094e-05,6.25e-06,8.21361827547662e-05
56,3.8277023122645915e-05,6.25e-06,7.567097782157362e-05
57,3.4239390515722334e-05,6.25e-06,6.903633038746193e-05
58,3.4773223887896165e-05,6.25e-06,9.723886614665389e-05
59,3.312398985144682e-05,6.25e-06,4.7602563427062705e-05
60,3.447400013101287e-05,6.25e-06,5.7385845138924196e-05
61,3.105265932390466e-05,6.25e-06,7.544958498328924e-05
62,3.482091415207833e-05,6.25e-06,9.17691140784882e-05
63,3.262473182985559e-05,6.25e-06,7.008293323451653e-05
64,3.474503319012001e-05,6.25e-06,6.654824392171577e-05
65,3.372995342942886e-05,3.125e-06,8.350802818313241e-05
66,3.415305036469363e-05,3.125e-06,7.084513345034793e-05
67,3.260834273532964e-05,3.125e-06,9.027383202919737e-05
68,3.042227035621181e-05,3.125e-06,6.508183287223801e-05
69,3.21552979585249e-05,3.125e-06,7.441440538968891e-05
70,3.686629861476831e-05,3.125e-06,6.80879020364955e-05
71,3.326957084937021e-05,3.125e-06,5.9930418501608074e-05
72,3.519217352732085e-05,1.5625e-06,8.256399451056495e-05
73,2.9987082598381676e-05,1.5625e-06,6.727920117555186e-05
74,3.116424340987578e-05,1.5625e-06,8.779455674812198e-05
75,3.476886195130646e-05,1.5625e-06,5.564746606978588e-05
76,3.3974698453675956e-05,1.5625e-06,6.641135405516252e-05
77,3.5166809539077803e-05,1.5625e-06,8.238874579546973e-05
78,3.455134719843045e-05,1.5625e-06,7.806710345903412e-05
79,3.267165811848827e-05,7.8125e-07,7.765384361846372e-05
